DanceID,Video,Frames,FramesPerSec,AvgBeeLength_Px,NumCycles,NumRuns,AvgRunAngle_Deg,AvgRunTime_Sec,Annotation Status,Stable Camera?
03_01,3,266,25,84.03833976,1.25,3,-84.45,3.18,Approved,Yes
05_01,5,491,30,181.5919975,3,6,-97.28333333,1.272222222,Approved,Yes
08_01,8,304,30,299.0129907,3,6,66.075,0.6,Approved,Yes
09_01,9,158,30,234.1939568,1.75,3,48.7,0.783333333,Approved,Mostly
11_01,11,269,25,111.9110262,1.5,3,176.35,2.78,Approved,Yes
11_02,11,269,25,111.9110262,1.25,2,6.65,2.4,Approved,Yes
16_01,16,231,24,207.5265445,1.25,3,49.95,2.125,Approved,Yes
17_01,17,294,24,185.8496961,3.25,6,-57.33333333,0.791666667,Approved,Yes
17_02,17,294,24,181.6326138,3,6,47.1,0.75,Approved,Yes
18_01,18,476,24,99.89598455,5,10,-95.75,0.775,Approved,Yes
19_01,19,2488,30,148.4537444,12.75,26,-31.28076923,1.092307692,Approved,Yes
23_01,23,692,30,179.6392246,4.25,8,36.8625,1.3125,Approved,Mostly
24_01,24,522,30,100.3058722,3.5,7,137.7166667,0.883333333,Approved,Mostly
