t,x,y,dance_movement,Predictions
1,626,231.3,0,-1
4,562,318.0,0,-1
7,444,294.0,0,-1
10,383,374.0,0,1
13,347,488.0,0,1
16,434,456.0,1,1
19,402,462.0,1,1
22,416,456.0,1,1
25,426,500.0,1,1
28,444,468.0,1,1
31,500,422.0,1,0
34,562,464.0,1,0
37,624,366.0,1,0
40,654,274.0,0,0
43,736,250.0,0,0
46,816,322.0,0,0
49,796,346.0,0,0
52,774,392.0,0,0
55,716,466.0,0,0
58,630,474.0,0,0
61,512,490.0,0,0
64,476,476.0,0,0
67,456,390.0,1,0
70,484,386.0,1,1
73,512,384.0,1,1
76,472,366.0,1,1
79,580,370.0,1,1
82,530,306.0,1,1
85,632,314.0,1,1
88,662,276.0,1,0
91,740,216.0,0,0
94,744,112.0,0,0
97,698,84.0,0,0
100,664,62.0,0,0
103,593,44.0,0,0
106,560,74.0,0,0
109,550,90.0,0,0
112,512,152.0,0,0
115,506,244.0,0,0
118,518,332.0,0,0
121,524,386.0,1,1
124,594,262.0,1,1
127,606,372.0,1,1
130,638,266.0,1,1
133,660,336.0,1,1
136,682,204.0,0,1
139,710,200.0,0,0
142,748,236.0,0,0
145,750,332.0,0,0
148,750,362.0,0,0
151,738,462.0,0,-1
154,648,558.0,0,-1
157,550,548.0,0,-1
