t,x,y,dance_movement,Predictions
0,592.0,91.3,0,-1
1,565.3,96.7,0,-1
2,544.0,112.7,0,-1
3,496.0,131.3,0,0
4,472.0,171.3,0,0
5,450.7,206.0,0,0
6,450.7,224.7,0,0
7,429.3,283.3,0,0
8,389.3,299.3,0,0
9,400.0,310.0,0,0
10,410.7,339.3,0,0
11,418.7,384.7,0,0
12,421.3,390.0,0,0
13,421.3,403.3,1,0
14,421.3,358.0,1,1
15,477.3,390.0,1,1
16,466.7,339.3,1,1
17,482.7,398.0,1,1
18,480.0,314.7,1,1
19,506.7,394.7,1,1
20,498.7,320.0,1,1
21,565.3,432.0,1,1
22,513.7,281.3,1,1
23,553.7,390.7,1,1
24,521.7,281.3,1,1
25,543.0,361.3,1,1
26,525.3,304.0,1,1
27,544.0,314.7,1,1
28,562.7,293.3,1,1
29,552.0,256.0,1,1
30,581.3,248.0,1,1
31,600.0,338.7,1,1
32,584.0,266.7,1,1
33,594.7,216.0,1,1
34,669.3,88.0,1,1
35,626.7,181.3,1,1
36,640.0,146.7,0,1
37,690.7,104.0,0,0
38,712.0,106.7,0,0
39,733.3,104.0,0,0
40,754.7,96.0,0,0
41,770.7,106.7,0,0
42,770.7,125.3,0,0
43,768.0,125.3,0,0
44,792.0,138.7,0,0
45,808.0,160.0,0,0
46,765.3,173.3,0,0
47,754.7,168.0,0,0
48,770.7,176.0,0,0
49,781.3,202.7,0,0
50,760.0,216.0,0,0
51,752.0,221.3,0,0
52,749.3,253.3,0,0
53,765.3,296.0,0,0
54,757.3,317.3,0,0
55,746.7,349.3,0,0
56,760.0,341.3,0,0
57,744.0,344.0,0,0
58,701.3,360.0,0,0
59,661.3,378.7,0,0
60,661.3,386.7,0,0
61,645.3,418.7,0,0
62,640.0,445.3,0,0
63,618.7,464.0,0,0
64,568.0,465.0,0,0
65,549.3,457.0,0,0
66,536.0,457.0,0,0
67,506.7,435.7,0,0
68,480.0,417.0,0,0
69,464.0,401.0,0,0
70,458.7,366.3,0,0
71,462.7,325.0,0,0
72,466.7,339.7,1,1
73,489.3,367.7,1,1
74,481.3,286.3,1,1
75,522.7,342.3,1,1
76,506.7,269.0,1,1
77,581.3,331.7,1,1
78,528.0,259.7,1,1
79,582.7,321.0,1,1
80,540.0,255.7,1,1
81,600.0,335.7,1,1
82,561.3,207.7,1,1
83,617.3,321.0,1,1
84,584.0,213.0,1,1
85,650.7,319.7,1,1
86,582.7,201.0,1,1
87,644.0,305.0,1,1
88,616.0,194.3,1,1
89,676.0,294.3,1,1
90,646.7,182.3,1,1
91,698.7,258.3,1,1
92,701.3,267.7,0,1
93,725.3,275.7,0,0
94,725.3,227.7,0,0
95,753.3,253.0,0,0
96,762.7,277.0,0,0
97,784.0,257.0,0,0
98,794.7,211.7,0,0
99,848.0,167.7,0,0
100,848.0,157.0,0,0
101,868.0,138.3,0,0
102,840.0,70.3,0,0
103,802.7,22.3,0,0
104,794.7,38.3,0,0
105,789.3,37.0,0,0
106,788.0,33.0,0,0
107,785.3,26.3,0,0
108,788.0,25.0,0,0
109,784.0,26.3,0,0
110,776.0,22.3,0,0
111,765.3,25.0,0,0
112,760.0,25.0,0,0
113,745.3,19.7,0,0
114,709.3,23.7,0,0
115,676.0,9.0,0,0
116,680.0,9.0,0,0
117,689.3,5.0,0,0
118,661.3,11.7,0,0
119,638.7,21.0,0,0
120,638.7,15.7,0,0
121,605.3,18.3,0,0
122,588.0,26.3,0,0
123,565.3,45.0,0,0
124,560.0,73.0,0,0
125,552.0,98.3,0,0
126,558.7,123.7,0,0
127,556.0,135.7,0,0
128,552.0,154.3,0,0
129,549.3,173.0,0,0
130,564.0,235.7,0,0
131,577.3,229.0,1,0
132,570.7,193.0,1,0
133,580.0,197.0,1,0
134,601.3,213.0,1,0
135,625.3,135.7,1,0
136,622.7,158.3,1,1
137,664.0,183.7,1,1
138,646.7,145.0,1,1
139,706.7,93.0,1,1
140,697.3,135.7,1,1
141,696.0,109.0,1,1
142,693.3,151.7,1,1
143,724.0,141.0,1,1
144,726.7,153.0,1,1
145,758.7,126.3,1,0
146,724.0,126.3,1,0
147,736.0,99.7,1,0
148,753.3,90.3,0,0
149,762.7,58.3,0,0
150,782.7,59.7,0,0
151,794.7,61.0,0,0
152,816.0,67.7,0,0
153,853.3,70.3,0,0
154,870.7,65.0,0,0
155,874.7,89.0,0,0
156,868.0,101.0,0,0
157,876.0,109.0,0,0
158,877.3,150.3,0,0
159,860.0,154.3,0,0
160,857.3,195.7,0,0
161,828.0,178.3,0,0
162,813.3,189.0,0,0
163,830.7,173.0,0,0
164,836.0,207.7,0,0
165,809.3,231.7,0,0
166,793.3,239.7,0,0
167,794.7,273.0,0,0
168,813.3,266.3,0,0
169,802.7,274.3,0,0
170,776.0,283.7,0,0
171,749.3,297.0,0,0
172,702.7,291.7,0,0
173,684.0,294.3,0,0
174,680.0,301.0,0,0
175,634.7,310.3,0,0
176,597.3,341.0,0,0
177,581.3,354.3,0,0
178,593.3,365.0,0,0
179,600.0,363.7,0,0
180,569.3,379.7,0,0
181,520.0,351.7,0,0
182,485.3,353.0,0,0
183,477.3,365.0,0,0
184,448.0,366.3,0,0
185,437.3,370.3,0,0
186,413.3,359.7,0,0
187,400.0,351.7,0,0
188,400.0,349.0,1,0
189,386.7,345.0,1,1
190,405.3,350.3,1,1
191,373.3,331.7,1,1
192,410.7,341.0,1,1
193,393.3,306.3,1,1
194,441.3,352.3,1,1
195,419.3,305.3,1,1
196,477.3,322.3,1,1
197,424.3,276.3,1,1
198,484.3,324.3,1,1
199,447.3,248.3,1,1
200,501.3,286.3,1,1
201,472.3,257.3,1,1
202,487.3,230.3,1,1
203,541.3,289.3,1,1
204,497.3,208.3,1,1
205,551.3,272.3,1,1
206,538.3,260.3,1,1
207,544.0,224.0,0,0
208,574.3,223.3,0,0
209,574.3,172.3,0,0
210,595.3,174.3,0,0
211,609.3,166.3,0,0
212,615.3,153.3,0,0
213,643.3,120.0,0,0
214,654.0,98.7,0,0
215,647.3,66.7,0,0
216,658.0,64.0,0,0
217,659.3,61.3,0,0
218,670.0,61.3,0,0
219,687.3,60.0,0,0
220,671.3,44.0,0,0
221,687.3,69.3,0,0
222,688.7,73.3,0,0
223,680.7,77.3,0,0
224,659.3,72.0,0,0
225,668.7,80.0,0,0
226,625.0,81.7,0,0
227,604.7,92.4,0,0
228,579.1,102.4,0,0
229,546.2,110.8,0,0
230,516.6,131.5,0,0
231,495.4,138.1,0,0
232,489.0,148.9,0,0
233,487.3,157.6,0,0
234,490.6,164.4,0,0
235,486.0,184.1,0,0
236,487.4,198.9,0,0
237,488.9,177.4,0,0
238,491.0,173.6,0,0
239,484.0,191.8,0,0
240,495.5,209.5,0,0
241,505.7,221.3,0,0
242,505.9,247.1,0,0
243,520.2,273.8,0,0
244,539.7,284.3,0,0
245,531.3,325.3,1,0
246,507.3,216.0,1,1
247,556.7,233.3,1,1
248,570.0,262.7,1,1
249,591.3,216.0,1,1
250,596.7,242.7,1,1
251,612.7,214.7,1,1
252,636.7,169.3,1,1
253,639.0,193.3,1,1
254,672.3,184.0,1,1
255,681.7,204.0,1,1
256,671.0,220.0,1,1
257,683.0,196.0,1,1
258,713.7,153.3,1,1
259,705.7,194.7,1,0
260,749.7,138.7,1,0
261,759.0,137.3,0,0
262,803.0,130.7,0,0
263,801.7,128.0,0,0
264,799.0,132.0,0,0
265,820.3,134.7,0,0
266,849.7,154.7,0,0
267,856.3,161.3,0,0
268,876.3,174.7,0,0
269,871.0,192.0,0,0
270,888.3,216.0,0,0
271,888.3,232.0,0,0
272,885.7,232.0,0,0
273,880.3,261.3,0,0
274,863.0,288.0,0,0
275,847.0,300.0,0,0
276,823.0,309.3,0,0
277,815.0,342.7,0,0
278,803.0,352.0,0,0
279,800.3,353.3,0,0
280,753.7,358.7,0,0
281,703.0,378.7,0,0
282,700.3,410.7,0,0
283,681.7,428.0,0,0
284,663.0,437.3,0,0
285,657.7,452.0,0,0
286,636.3,460.0,0,0
287,587.0,432.0,0,0
288,544.3,400.0,0,0
289,519.0,401.3,0,0
290,471.0,396.0,0,0
291,469.7,302.7,0,0
292,461.7,348.0,0,0
293,443.0,362.7,0,0
294,440.3,342.7,0,0
295,460.3,282.7,1,1
296,440.3,242.7,1,1
297,448.3,270.7,1,1
298,443.0,214.7,1,1
299,504.3,221.3,1,1
300,473.7,178.7,1,1
301,525.7,206.7,1,-1
302,523.0,204.0,1,-1
303,491.0,160.0,1,-1
