RunNo,StartFrame,EndFrame,RunAngle_Deg,RunTime_Sec,IncludeInAvg?,Reason
1,7,42,-33.3,1.2,Y,
2,84,115,-21.4,1.066666667,Y,
3,185,224,-22.8,1.333333333,Y,
4,279,316,-20.5,1.266666667,Y,
5,363,399,-37.8,1.233333333,Y,
6,455,490,-36.3,1.2,Y,
7,541,581,-31.8,1.366666667,Y,
8,628,662,-34.2,1.166666667,Y,
9,724,753,-34.9,1,Y,
10,819,849,-24,1.033333333,Y,
11,931,963,-28.5,1.1,Y,
12,1014,1045,-23.2,1.066666667,Y,
13,1126,1157,-26.7,1.066666667,Y,
14,1258,1298,-20.5,1.366666667,Y,
15,1347,1379,-26.8,1.1,Y,
16,1420,1455,-28.3,1.2,Y,
17,1548,1572,-17.2,0.833333333,Y,
18,1621,1652,-41.2,1.066666667,Y,
19,1711,1738,-31.9,0.933333333,Y,
20,1847,1873,-42,0.9,Y,
21,1931,1968,-25,1.266666667,Y,
22,2077,2110,-36.3,1.133333333,Y,
23,2199,2227,-43.6,0.966666667,Y,
24,2284,2305,-46.1,0.733333333,Y,
25,2384,2420,-31.6,1.233333333,Y,
26,2471,2487,-47.4,0.566666667,Y,
TotalAvg,,,-31.28076923,1.092307692,,
SelectedAvg,,,-31.28076923,1.092307692,,
